zh,profession,rarity,en,ja,id,sex,birth_place,team,logo,race,nation,group,hp,atk,def,res,re_deploy,cost,block,interval,position,tag,obtain_method,potential,trust,phy,flex,tolerance,plan,skill,adapt,sortid,subprofession,description
塑心,辅助,5,Virtuosa,ヴィルトゥオーサ,LT22,女,拉特兰,,拉特兰,萨科塔,拉特兰,,1201,485,109,15,70s,14→16,1,1.6s,远程位,元素 支援,限定寻访,"cost,re_deploy,atk,,cost`-1,-6,23,,-1","300,40,0",标准,标准,标准,标准,优良,卓越,306,巫役,攻击造成法术伤害，可以造成元素损伤
塞雷娅,重装,5,Saria,サリア,RL02,女,哥伦比亚,,莱茵生命,瓦伊凡,哥伦比亚,莱茵生命,3150,485,595,10,70s,18→20→22,2→3→3,1.2s,近战位,防护 治疗 支援,"公开招募, 中坚寻访","cost,re_deploy,def,,cost`-1,-4,27,,-1","0,50,60",优良,普通,优良,优良,优良,卓越,81,守护者,技能可以治疗友方单位
夏栎,辅助,4,Quercus,クエルクス,R121,女,维多利亚,,罗德岛,菲林,罗德岛,,1680,463,172,25,70s,10→12,1,1.6s,远程位,支援 生存,标准寻访,"cost,re_deploy,hp,,cost`-1,-4,160,,-1","400,0,30",标准,标准,标准,优良,标准,优良,224,护佑者,攻击造成法术伤害，技能开启后改为治疗友方单位（治疗量相当于75%攻击力）
夕,术师,5,Dusk,シー,NM02,女,炎,,炎-岁,未公开,炎,炎-岁,1801,918,127,20,70s,31→34,1,2.9s,远程位,群攻 输出 控场,限定寻访,"cost,re_deploy,atk,,cost`-1,-4,34,,-1","0,110,0",普通,普通,普通,标准,普通,缺陷,182,扩散术师,攻击造成群体法术伤害
多萝西,特种,5,Dorothy,ドロシー,RL07,女,哥伦比亚,,莱茵生命,札拉克,哥伦比亚,莱茵生命,1502,581,172,0,70s,10→12,1,0.85s,远程位,召唤 控场,标准寻访,"cost,,atk,,cost`-1,,27,,-1","0,80,0",普通,普通,标准,标准,普通,优良,243,陷阱师,可以使用陷阱来协助作战，但陷阱无法放置于敌人已在的格子中
夜刀,先锋,1,Yato,ヤトウ,A41,女,东国,行动组A4,行动组A4,鬼,罗德岛,,1030,232,192,0,70s,7,2,1.05s,近战位,新手,公开招募,"cost,re_deploy,atk,atk,cost`-1,-5,9,9,-1","0,30,0",标准,优良,标准,标准,标准,标准,3,尖兵,能够阻挡两个敌人
夜半,先锋,4,Blacknight,ブラックナイト,RB12,女,雷姆必拓,,雷姆必拓,萨弗拉,雷姆必拓,,1625,442,133,0,70s,12→14,1,1.0s,远程位,费用回复 控场,标准寻访,"cost,re_deploy,interval,re_deploy,cost`-1,-4,8,-6,-1","0,60,0",普通,标准,普通,优良,标准,标准,221,战术家,可以在攻击范围内选择一次战术点来召唤援军，自身攻击援军阻挡的敌人时攻击力提升至150%
夜烟,术师,3,Haze,ヘイズ,VC02,女,维多利亚,,维多利亚,菲林,维多利亚,,1420,583,110,20,70s,17→19,1,1.6s,远程位,输出 削弱,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,hp,,cost`-1,-4,100,,-1","0,60,0",普通,普通,普通,优良,普通,优良,21,中坚术师,攻击造成法术伤害
夜莺,医疗,5,Nightingale,ナイチンゲール,FO03,女,卡兹戴尔,使徒,使徒,萨卡兹,,,1705,350,169,5,70s,16→18,1,2.85s,远程位,治疗 支援,"公开招募, 中坚寻访","cost,re_deploy,res,,cost`-1,-4,10,,-1","0,70,0",缺陷,缺陷,缺陷,普通,普通,卓越,79,群愈师,同时恢复三个友方单位的生命
夜魔,术师,4,Nightmare,ナイトメア,VC03,女,维多利亚,,维多利亚,菲林,维多利亚,,1510,622,120,20,70s,18→20,1,1.6s,远程位,输出 治疗 减速,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,26,,-1","0,70,0",普通,标准,普通,普通,标准,优良,87,中坚术师,攻击造成法术伤害
天火,术师,4,Skyfire,スカイフレア,SK01,女,维多利亚,,维多利亚,菲林,维多利亚,,1620,784,122,20,70s,30→33,1,2.9s,远程位,群攻 控场,中坚寻访,"cost,re_deploy,atk,,cost`-1,-4,33,,-1","0,90,0",普通,普通,普通,标准,普通,卓越,56,扩散术师,攻击造成群体法术伤害
奥斯塔,狙击,4,Aosta,アオスタ,SR28,男,叙拉古,贾维团伙,贾维团伙,鲁珀,叙拉古,,2376,691,192,0,70s,28→31,1,2.3s,远程位,群攻,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,26,,-1","0,65,0",标准,标准,标准,优良,标准,标准,164,散射手,攻击范围内的所有敌人，对自己前方一横排的敌人攻击力提升至150%
奥达,近卫,4,Odda,オッダ,R167,男,卡兹戴尔,,罗德岛,萨卡兹,罗德岛,,2593,1190,337,0,80s,19→21,2,1.8s,近战位,群攻 控场,活动获得,"cost,re_deploy,cost,,cost`-1,-10,-1,,-1","0,70,30",普通,普通,优良,普通,标准,标准,322,撼地者,攻击使目标周围的其他敌人受到相当于攻击力50%的群体物理伤害
妮芙,术师,5,Nymph,ニンフ,R182,女,卡兹戴尔,,罗德岛,萨卡兹,罗德岛,,1650,655,129,15,70s,19→21,1,1.6s,远程位,元素 输出 控场,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,27,,-1","0,90,0",普通,标准,标准,普通,普通,优良,335,本源术师,攻击造成法术伤害，可以造成元素伤害
娜仁图亚,狙击,5,Narantuya,ナラントゥヤ,SG17,女,萨尔贡,,萨尔贡,库兰塔,萨尔贡,,2500,675,170,0,70s,14→16,1,1.0s,远程位,输出,标准寻访,"cost,,atk,,cost`-1,,27,,-1","0,90,0",优良,优良,优良,标准,标准,优良,339,回环射手,持有回旋投射物时才能够攻击（投射物需要时间回收）
子月,狙击,4,Lunacub,ルナカブ,SR37,女,叙拉古,,叙拉古,鲁珀,叙拉古,,1536,1034,155,0,70s,19→21,1,2.7s,远程位,输出 生存,标准寻访,"cost,re_deploy,atk,re_deploy,cost`-1,-4,35,-6,-1","300,40,0",标准,卓越,普通,优良,标准,标准,258,神射手,优先攻击攻击范围内防御力最低的敌方单位
孑,特种,3,Jaye,ジェイ,LM14,男,龙门,,炎-龙门,乌萨斯,炎-龙门,,2284,674,378,0,25s,5→7,1,1.0s,近战位,快速复活 输出,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,atk,,cost`-1,-3,23,,-1","200,40,0",标准,标准,标准,标准,优良,标准,151,行商,再部署时间减少，撤退时不返还部署费用，在场时每3秒消耗3点部署费用（不足时自动撤退）
守林人,狙击,4,Firewatch,ファイヤーウォッチ,ST01,女,未公开,,罗德岛,埃拉菲亚,罗德岛,,1450,1085,131,0,70s,19→21,1,2.7s,远程位,输出 爆发,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,35,,-1","0,90,0",普通,标准,普通,标准,优良,普通,66,神射手,优先攻击攻击范围内防御力最低的敌方单位
安哲拉,狙击,4,Andreana,アンドレアナ,II04,女,伊比利亚,,深海猎人,阿戈尔,阿戈尔,深海猎人,1498,1070,128,0,70s,19→21,1,2.7s,远程位,输出 减速,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,35,,-1","300,40,0",标准,优良,优良,标准,优良,缺陷,152,神射手,优先攻击攻击范围内防御力最低的敌方单位
安德切尔,狙击,2,Adnachiel,アドナキエル,PA44,男,拉特兰,行动预备组A4,行动预备组A4,萨科塔,罗德岛,,1080,365,134,0,70s,9→11,1,1.0s,远程位,输出,"公开招募, 主线剧情","cost,re_deploy,atk,re_deploy,cost`-1,-4,23,-6,-1","0,50,0",普通,标准,普通,普通,标准,标准,15,速射手,优先攻击空中单位
安比尔,狙击,3,Ambriel,アンブリエル,LT02,女,拉特兰,,拉特兰,萨科塔,拉特兰,,1595,977,122,0,70s,18→20,1,2.7s,远程位,输出 减速,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,interval,,cost`-1,-4,6,,-1","0,75,0",普通,标准,普通,标准,标准,标准,115,神射手,优先攻击攻击范围内防御力最低的敌方单位
安洁莉娜,辅助,5,Angelina,アンジェリーナ,SR02,女,叙拉古,,叙拉古,沃尔珀,叙拉古,,1385,542,120,25,70s,14→16,1,1.9s,远程位,减速 输出 支援,中坚寻访,"cost,,atk,cost,`-1,,25,-1,","0,75,0",普通,优良,普通,普通,普通,优良,77,凝滞师,攻击造成法术伤害，并对敌人造成短暂的停顿
安赛尔,医疗,2,Ansel,アンセル,PA43,男,雷姆必拓,行动预备组A4,行动预备组A4,卡特斯,罗德岛,,1135,362,109,0,70s,15→17,1,2.85s,远程位,治疗,"公开招募, 标准寻访, 中坚寻访, 主线剧情","cost,re_deploy,atk,,cost`-1,-4,20,,-1","0,45,0",普通,标准,普通,普通,标准,标准,18,医师,恢复友方单位生命
宴,近卫,3,Utage,ウタゲ,HK03,女,东国,,东,不明,东,,3444,693,312,0,70s,20→22→24,1,1.2s,近战位,输出 生存,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,atk,re_deploy,cost`-1,-4,23,-6,-1","0,30,40",普通,普通,普通,普通,优良,普通,125,武者,不成为其他角色的治疗目标，每次攻击到敌人后回复自身70生命
寒檀,术师,4,Santalla,サンタラ,SI02,女,萨米,,萨米,菲林,萨米,,1640,770,123,20,70s,30→33,1,2.9s,远程位,群攻 控场,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,32,,-1","0,90,0",标准,标准,优良,标准,标准,优良,287,扩散术师,攻击造成群体法术伤害
寒芒克洛丝,狙击,4,Kroos the Keen Glint,寒芒クルース,RF02,女,雷姆必拓,,罗德岛,卡特斯,罗德岛,,1520,502,176,0,80s,13→15,1,1.0s,远程位,输出,"活动获得, 记录修复奖励","cost,re_deploy,cost,,cost`-1,-10,-1,,-1","0,75,0",标准,标准,标准,优良,优良,标准,220,速射手,优先攻击空中单位
寻澜,先锋,4,Surfer,サーファー,BS07,女,哥伦比亚,,黑钢国际,札拉克,哥伦比亚,黑钢国际,1950,560,261,0,35s,8→10,1,1.0s,近战位,费用回复 快速复活,标准寻访,"cost,re_deploy,interval,,cost`-1,-4,5,,-1","0,40,20",标准,优良,标准,优良,标准,普通,358,情报官,再部署时间减少，可使用远程攻击
导火索,近卫,4,Fuze,Fuze,RS08,男,未知,彩虹小队,彩虹小队,未知,,,2660,795,290,0,80s,21→23→25,2→2→3,1.2s,近战位,群攻 生存,活动获得,"cost,re_deploy,cost,,cost`-1,-10,-1,,-1","0,40,40",标准,普通,标准,优良,优良,■■,317,强攻手,同时攻击阻挡的所有敌人
小满,辅助,4,Grain Buds,グレインバッズ,YD14,女,炎,,炎,黎博利,炎,,1260,525,100,20,70s,13→15,1,1.9s,远程位,减速 控场,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,23,,-1","0,65,0",普通,标准,普通,普通,普通,优良,313,凝滞师,攻击造成法术伤害，并对敌人造成短暂的停顿
山,近卫,5,Mountain,マウンテン,CB05,男,哥伦比亚,,哥伦比亚,菲林,哥伦比亚,,2745,587,357,0,70s,9→11,1,0.78s,近战位,输出 生存,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,24,,-1","0,45,45",优良,标准,标准,优良,标准,普通,174,斗士,能够阻挡一个敌人
崖心,特种,4,Cliffheart,クリフハート,JC06,女,谢拉格,,喀兰贸易,菲林,谢拉格,喀兰贸易,1970,765,340,0,70s,11→13,2,1.8s,近战位,位移 输出,"公开招募, 中坚寻访","cost,re_deploy,interval,,cost`-1,-4,8,,-1","0,70,0",标准,优良,标准,标准,优良,标准,67,钩索师,技能可以使敌人产生位移可以放置于远程位
嵯峨,先锋,5,Saga,サガ,HK13,女,东国,,东,佩洛,东,,2205,530,372,0,70s,12→14,2,1.05s,近战位,费用回复 输出,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,25,,-1","0,85,0",标准,标准,标准,标准,优良,标准,181,尖兵,能够阻挡两个敌人
巡林者,狙击,1,Rangers,レンジャー,A42,男,未公开,行动组A4,行动组A4,萨弗拉,罗德岛,,780,269,66,0,70s,7,1,1.0s,远程位,新手,公开招募,"cost,interval,interval,re_deploy,cost`-1,6,6,-5,-1","0,30,0",普通,优良,普通,普通,优良,普通,5,速射手,优先攻击空中单位
左乐,近卫,5,Zuo Le,ズオ・ラウ,YD06,男,炎,,炎,斐迪亚,炎,,3858,780,315,0,70s,22→24→26,1,1.2s,近战位,输出 生存,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,26,,-1","340,40,40",标准,卓越,标准,优良,标准,标准,314,武者,不成为其他角色的治疗目标，每次攻击到敌人后回复自身70生命
巫恋,辅助,4,Shamare,シャマレ,R148,女,叙拉古,,叙拉古,沃尔珀,叙拉古,,1728,408,105,25,70s,10→12,1,1.6s,远程位,削弱,"公开招募, 中坚寻访","cost,re_deploy,res,,cost`-1,-4,8,,-1","0,65,0",普通,标准,普通,标准,普通,优良,132,削弱者,攻击造成法术伤害
布丁,术师,3,Pudding,プリン,CB03,女,哥伦比亚,,哥伦比亚,阿戈尔,哥伦比亚,,1326,542,108,20,70s,28→31,1,2.3s,远程位,输出,凭证交易所(采购),"cost,re_deploy,atk,re_deploy,cost`-1,-4,23,-6,-1","0,70,0",缺陷,标准,标准,普通,标准,标准,209,链术师,攻击造成法术伤害，且会在4个敌人间跳跃，每次跳跃伤害降低15%并造成短暂停顿
布洛卡,近卫,4,Broca,ブローカ,SR27,男,叙拉古,贾维团伙,贾维团伙,菲林,叙拉古,,2335,762,366,0,70s,19→21→23,2→2→3,1.2s,近战位,群攻 生存,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,28,,-1","0,80,0",优良,普通,标准,普通,标准,标准,114,强攻手,同时攻击阻挡的所有敌人
帕拉斯,近卫,5,Pallas,パラス,MN04,女,米诺斯,,米诺斯,丰蹄,米诺斯,,1963,687,455,0,70s,15→17,2,1.05s,近战位,输出 支援,中坚寻访,"cost,re_deploy,atk,,cost`-1,-4,25,,-1","300,50,0",标准,普通,标准,优良,标准,优良,198,教官,可以攻击到较远敌人，攻击自身未阻挡的敌人时攻击力提升至120%
年,重装,5,Nian,ニェン,NM01,女,炎,,炎-岁,未公开,炎,炎-岁,3699,619,726,0,70s,19→21→23,3,1.5s,近战位,防护 支援,限定寻访,"cost,atk,def,,cost`-1,24,30,,-1","400,0,70",标准,标准,标准,标准,优良,缺陷,121,铁卫,能够阻挡三个敌人
幽灵鲨,近卫,4,Specter,スペクター,AA02,女,阿戈尔,,深海猎人,未公开,阿戈尔,深海猎人,2630,725,355,0,70s,19→21→23,2→2→3,1.2s,近战位,群攻 生存,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,27,,-1","0,80,0",卓越,普通,卓越,缺陷,优良,缺陷,51,强攻手,同时攻击阻挡的所有敌人
异客,术师,5,Passenger,パッセンジャー,SG07,男,哥伦比亚,,萨尔贡,黎博利,萨尔贡,,1558,689,130,20,70s,30→33,1,2.3s,远程位,输出,"公开招募, 中坚寻访","cost,,atk,cost,`-1,,32,-1,","0,85,0",普通,标准,标准,优良,标准,优良,189,链术师,攻击造成法术伤害，且会在4个敌人间跳跃，每次跳跃伤害降低15%并造成短暂停顿(0.5s)
弑君者,特种,5,Crownslayer,クラウンスレイヤー,R315,女,乌萨斯,,罗德岛,瑞柏巴,罗德岛,,1695,545,325,0,22s,10→12,1,0.93s,近战位,快速复活,活动获得,"cost,re_deploy,cost,,cost`-1,-4,-1,,-1","0,90,0",标准,卓越,标准,标准,优良,优良,351,处决者,再部署时间大幅度减少
引星棘刺,特种,5,Thorns the Lodestar,引星ソーンズ,II02,男,伊比利亚,,伊比利亚,阿戈尔,伊比利亚,,1173,501,106,30,70s,14→16→18,1,1.5s,远程位,输出 支援 削弱,标准寻访,"cost,re_deploy,res,,cost`-1,-4,12,,-1","200,40,0",优良,标准,标准,优良,优良,优良,356,炼金师,可以投掷炼金单元协助作战
归溟幽灵鲨,特种,5,Specter the Unchained,帰溟スペクター,CR02,女,阿戈尔,,深海猎人,阿戈尔,阿戈尔,深海猎人,2803,737,322,0,70s,14→14→16,2,1.2s,近战位,输出 快速复活,限定寻访,"cost,re_deploy,atk,,cost`-1,-4,33,,-1","0,80,0",卓越,优良,卓越,标准,优良,缺陷,236,傀儡师,受到致命伤时不撤退，切换成<替身>作战（替身阻挡数为0），持续20秒后自身再次替换<替身>
录武官,医疗,4,Record Keeper,,YD26,男,炎,,炎,佩洛,炎,,1580,502,124,0,70s,17→19,1,2.85s,远程位,治疗,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,27,,-1","0,75,0",缺陷,普通,普通,优良,普通,标准,377,医师,恢复友方单位生命
微风,医疗,4,Breeze,ブリーズ,R132,女,维多利亚,,维多利亚,沃尔珀,维多利亚,,1595,343,153,0,70s,15→17,1,2.85s,远程位,治疗 支援,凭证交易所(采购),"cost,re_deploy,atk,re_deploy,cost`-1,-4,20,-6,-1","200,30,0",普通,标准,普通,标准,缺陷,优良,108,群愈师,同时恢复三个友方单位的生命
德克萨斯,先锋,4,Texas,テキサス,PL02,女,哥伦比亚,,企鹅物流,鲁珀,炎-龙门,企鹅物流,1950,500,343,0,70s,11→13,2,1.05s,近战位,费用回复 控场,"公开招募, 中坚寻访, 常驻赠送","cost,re_deploy,atk,re_deploy,cost`-1,-4,24,-6,-1","0,70,0",优良,优良,标准,优良,优良,优良,47,尖兵,能够阻挡两个敌人
忍冬,先锋,5,Vulpisfoglia,ウルピスフォリア,SR40,女,叙拉古,,叙拉古,沃尔珀,叙拉古,,2030,562,380,0,70s,12→14,2,1.05s,近战位,费用回复 输出,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,25,,-1","150,60,0",优良,优良,标准,标准,卓越,标准,352,尖兵,能够阻挡两个敌人
惊蛰,术师,4,Leizi,レイズ,YD05,女,炎,,炎,麒麟,炎,,1443,635,119,20,70s,29→32,1,2.3s,远程位,输出,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,28,,-1","0,75,0",标准,优良,标准,优良,优良,卓越,122,链术师,攻击造成法术伤害，且会在4个敌人间跳跃，每次跳跃伤害降低15%并造成短暂停顿(0.5s)
慑砂,狙击,4,Sesa,シェーシャ,R158,男,萨尔贡,,萨尔贡,瓦伊凡,萨尔贡,,1655,833,123,0,70s,24→26→28,1,2.8s,远程位,群攻 削弱,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,33,,-1","0,85,0",标准,普通,标准,普通,优良,标准,127,炮手,攻击造成群体物理伤害
慕斯,近卫,3,Mousse,ムース,VC04,女,维多利亚,,维多利亚,菲林,维多利亚,,2345,644,357,15,70s,18→20,1,1.25s,近战位,输出,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,26,,-1","0,35,35",标准,标准,标准,普通,标准,优良,33,术战者,攻击造成法术伤害
战车,近卫,4,Tachanka,Tachanka,RS04,男,未知,彩虹小队,彩虹小队,未知,,,2626,621,309,0,80s,20→22→24,2,1.3s,近战位,爆发 输出,活动获得,"cost,re_deploy,cost,,cost`-1,-10,-1,,-1","0,40,40",标准,普通,标准,优良,优良,■■,183,剑豪,普通攻击连续造成两次伤害
截云,狙击,4,Jieyun,ジエユン,YD15,女,炎,,炎,阿纳萨,炎,,1650,835,115,0,80s,26→28→30,1,2.8s,远程位,群攻 减速,"活动获得, 记录修复奖励","cost,re_deploy,cost,,cost`-1,-10,-1,,-1","0,85,0",标准,标准,标准,普通,优良,标准,265,炮手,攻击造成群体物理伤害
戴菲恩,术师,4,Delphine,デルフィーン,VC23,女,维多利亚,,维多利亚,菲林,维多利亚,,1532,1240,128,20,80s,24→26,1,3.0s,远程位,输出,主线剧情,"cost,re_deploy,cost,,cost`-1,-10,-1,,-1","0,130,0",标准,标准,标准,优良,标准,标准,298,秘术师,攻击造成法术伤害，在找不到攻击目标时可以将攻击能量储存起来之后一齐发射（最多3个）
承曦格雷伊,狙击,4,Greyy the Lightningbearer,承曦グレイ,RF23,男,玻利瓦尔,,罗德岛,佩洛,罗德岛,,1730,628,240,15,70s,22→24,1,2.1s,远程位,输出 减速,标准寻访,"cost,re_deploy,atk,re_deploy,cost`-1,-4,32,-6,-1","150,60,0",普通,标准,标准,普通,标准,标准,242,投掷手,攻击对小范围的地面敌人造成两次物理伤害（第二次为余震，伤害降低至攻击力的一半）
折光,术师,4,Diamante,ディアマンテ,LN21,男,莱塔尼亚,,莱塔尼亚,卡普里尼,莱塔尼亚,,1309,578,111,15,70s,18→20,1,1.6s,远程位,元素 输出,凭证交易所(采购),"cost,re_deploy,atk,,cost`-1,-4,25,,-1","0,65,0",普通,优良,标准,优良,普通,标准,302,本源术师,攻击造成法术伤害，可以造成元素伤害
折桠,重装,4,Веточки,,US35,女,乌萨斯,,乌萨斯,乌萨斯,乌萨斯,,3748,865,540,10,70s,31→33→35,2→3→3,1.6s,近战位,防护 生存,标准寻访,"cost,re_deploy,hp,,cost`-1,-4,250,,-1","400,0,50",普通,普通,标准,普通,普通,标准,390,不屈者,无法被友方角色治疗
拉普兰德,近卫,4,Lappland,ラップランド,SR01,女,叙拉古,,叙拉古,鲁珀,叙拉古,,2350,685,365,15,70s,17→19,2,1.3s,近战位,输出 削弱,中坚寻访,"cost,re_deploy,atk,,cost`-1,-4,25,,-1","0,75,0",优良,标准,标准,标准,卓越,优良,50,领主,可以进行远程攻击，但此时攻击力降低至80%
拜松,重装,4,Bison,バイソン,LM15,男,龙门,,炎-龙门,丰蹄,炎-龙门,,3456,375,701,0,80s,20→22→24,3,1.2s,近战位,防护,"活动获得, 记录修复奖励","cost,re_deploy,cost,,cost`-1,-10,-1,,-1","0,0,80",标准,标准,优良,标准,普通,标准,110,铁卫,能够阻挡三个敌人
掠风,辅助,4,Windflit,ウインドフリット,CB19,男,哥伦比亚,,哥伦比亚,佩洛,哥伦比亚,,2600,565,425,0,70s,14→16→18,2,1.5s,近战位,输出 支援,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,25,,-1","0,40,40",标准,标准,优良,普通,普通,标准,233,工匠,能够阻挡两个敌人，使用<支援装置>协助作战
推进之王,先锋,5,Siege,シージ,GG01,女,维多利亚,,格拉斯哥帮,阿斯兰,维多利亚,格拉斯哥帮,2251,515,384,0,70s,12→14,2,1.05s,近战位,费用回复 输出,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,25,,-1","0,60,25",优良,优良,优良,优良,优良,标准,74,尖兵,能够阻挡两个敌人
提丰,狙击,5,Typhon,ティフォン,SI07,女,萨米,,萨米,萨卡兹,萨米,,1702,1045,113,0,70s,22→24,1,2.4s,远程位,输出,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,34,,-1","0,110,0",优良,标准,优良,普通,优良,标准,288,攻城手,优先攻击重量最重的敌人
摩根,近卫,4,Morgan,モーガン,GG02,女,维多利亚,,格拉斯哥帮,菲林,维多利亚,格拉斯哥帮,3810,905,243,0,80s,18→20,1,1.5s,近战位,输出,主线剧情,"cost,re_deploy,cost,,cost`-1,-10,-1,,-1","0,75,25",标准,普通,标准,优良,优良,普通,276,无畏者,能够阻挡一个敌人
斑点,重装,2,Spot,スポット,PA64,男,萨尔贡,行动预备组A6,行动预备组A6,瑞柏巴,罗德岛,,1833,320,442,10,70s,15→17,2→3,1.2s,近战位,防护 治疗,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,def,,cost`-1,-4,24,,-1","0,30,30",标准,普通,优良,普通,标准,标准,91,守护者,技能可以治疗友方单位
斥罪,重装,5,Penance,ペナンス,SR35,女,叙拉古,,叙拉古,鲁珀,叙拉古,,4055,876,616,10,70s,32→34→36,2→3→3,1.6s,近战位,生存 输出,标准寻访,"cost,,atk,,cost`-1,,28,,-1","600,40,0",标准,普通,标准,标准,普通,标准,260,不屈者,无法被友方角色治疗
斩业星熊,重装,5,Hoshiguma the Breacher,,LM23,女,东国,,龙门近卫局,鬼,炎-龙门,龙门近卫局,3551,667,561,15,70s,22→24→26,3,1.6s,近战位,输出 生存,限定寻访,"cost,re_deploy,def,,cost`-1,-4,30,,-1","0,55,55",优良,标准,卓越,优良,优良,普通,383,驭法铁卫,技能开启时普通攻击会造成法术伤害
断崖,近卫,4,Ayerscarpe,エアースカーペ,RB04,男,雷姆必拓,,雷姆必拓,卡特斯,雷姆必拓,,2420,670,375,10,70s,17→19,2,1.3s,近战位,输出 群攻,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,26,,-1","0,75,0",标准,优良,优良,标准,优良,标准,146,领主,可以进行远程攻击，但此时攻击力降低至80%
断罪者,近卫,3,Conviction,コンビクション,MN01,断罪,米诺斯,,米诺斯,未知（疑似黎博利）,米诺斯,,3483,929,166,0,70s,14→16,1,1.5s,近战位,输出 生存 控场 爆发,活动获得,`,"222,22,22",标准,标准,标准,标准,标准,标准,129,无畏者,能够阻挡一个敌人
斯卡蒂,近卫,5,Skadi,スカジ,AA01,女,阿戈尔,,深海猎人,未公开,阿戈尔,深海猎人,3866,1015,263,0,70s,17→19,1,1.5s,近战位,输出 生存,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,33,,-1","0,80,40",■■,标准,卓越,标准,优良,缺陷,89,无畏者,能够阻挡一个敌人
新约能天使,特种,5,Exusiai the New Covenant,新約エクシア,PL08,女,拉特兰,,企鹅物流,萨科塔,炎-龙门,企鹅物流,2150,708,150,10,70s,11→13,1,1.3s,远程位,输出 支援,限定寻访,"cost,,atk,,cost`-1,,30,,-1","200,70,0",标准,优良,标准,优良,优良,标准,373,怪杰,自身生命会不断流失
早露,狙击,5,Роса,ロサ,USS4,女,乌萨斯,乌萨斯学生自治团,乌萨斯学生自治团,乌萨斯,乌萨斯,,1755,1032,122,0,70s,22→24,1,2.4s,远程位,输出 控场,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,34,,-1","0,110,0",标准,普通,标准,优良,标准,标准,143,攻城手,优先攻击重量最重的敌人
明椒,医疗,4,Paprika,パプリカ,R175,女,哥伦比亚,,罗德岛,萨卡兹,罗德岛,,1666,439,171,0,70s,16→18,1,2.85s,远程位,治疗,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,24,,-1","200,50,0",标准,标准,标准,普通,标准,优良,254,链愈师,恢复友方单位生命，且会在3个友方单位间跳跃，每次跳跃治疗量降低25%
星极,近卫,4,Astesia,アステシア,RR01,女,哥伦比亚,,哥伦比亚,黎博利,哥伦比亚,,2523,660,393,15,70s,19→21,1,1.25s,近战位,输出 防护,"公开招募, 中坚寻访","cost,re_deploy,def,re_deploy,cost`-1,-4,23,-6,-1","0,30,55",普通,标准,标准,标准,标准,优良,100,术战者,攻击造成法术伤害
星源,术师,4,Astgenne,アステジーニ,RL08,女,哥伦比亚,,莱茵生命,黎博利,哥伦比亚,莱茵生命,1440,630,122,20,80s,31→34,1,2.3s,远程位,输出,"活动获得, 记录修复奖励","cost,re_deploy,cost,atk,cost`-1,-10,-1,28,-1","0,75,0",普通,标准,标准,标准,标准,标准,241,链术师,攻击造成法术伤害，且会在4个敌人间跳跃，每次跳跃伤害降低15%并造成短暂停顿
星熊,重装,5,Hoshiguma,ホシグマ,LM05,女,东国,,龙门近卫局,鬼,炎-龙门,龙门近卫局,3850,430,723,0,70s,19→21→23,3,1.2s,近战位,防护 输出,"公开招募, 中坚寻访","cost,,def,cost,`-1,,30,-1,","0,60,60",优良,标准,卓越,标准,优良,普通,80,铁卫,能够阻挡三个敌人
晓歌,先锋,4,Cantabile,カンタービレ,R143,女,玻利瓦尔,,罗德岛,黎博利,罗德岛,,1917,560,267,0,35s,8→10,1,1.0s,近战位,费用回复 快速复活,标准寻访,"cost,re_deploy,interval,,cost`-1,-4,5,,-1","0,30,30",标准,普通,标准,标准,标准,标准,245,情报官,再部署时间减少，可使用远程攻击
